"_id","_labels","intersection_location","osmid","street_count","_start","_end","_type","lanes","oneway","road_highway","road_length","road_name","road_osmid"
,,,,,"3852","3275","ROAD_SEGMENT","1","false","residential","5.426485345913127","улица Даля","338931185"
,,,,,"3852","760","ROAD_SEGMENT","1","false","residential","5.159463888960118","улица Даля","338931185"
,,,,,"3853","3854","ROAD_SEGMENT","NaN","false","service","10.041001826592344","NaN","31399173"
,,,,,"3854","4446","ROAD_SEGMENT","NaN","false","service","11.215566271285605","NaN","31399173"
,,,,,"3854","3853","ROAD_SEGMENT","NaN","false","service","10.041001826592344","NaN","31399173"
,,,,,"3854","4445","ROAD_SEGMENT","NaN","false","footway","15.093944104686418","NaN","1328332069"
,,,,,"3855","12","ROAD_SEGMENT","NaN","false","service","17.234565607750532","NaN","31399173"
,,,,,"3855","4446","ROAD_SEGMENT","NaN","false","service","13.72281765543031","NaN","31399173"
,,,,,"3856","3312","ROAD_SEGMENT","NaN","false","footway","8.396554862484738","NaN","343112600"
,,,,,"3856","1305","ROAD_SEGMENT","NaN","false","footway","8.250713585748613","NaN","350227472"
,,,,,"3857","3312","ROAD_SEGMENT","NaN","false","footway","164.89041896106713","NaN","848286554"
,,,,,"3857","3313","ROAD_SEGMENT","NaN","false","footway","16.71357787025817","NaN","848286554"
,,,,,"3858","2845","ROAD_SEGMENT","NaN","false","footway","21.39807437485528","NaN","925927936"
,,,,,"3858","3863","ROAD_SEGMENT","NaN","false","footway","5.835236039904961","NaN","925927936"
,,,,,"3858","3859","ROAD_SEGMENT","NaN","false","service","9.887788088335663","NaN","1110412982"
,,,,,"3858","3860","ROAD_SEGMENT","NaN","false","service","11.0586955860664","NaN","1110412982"
,,,,,"3859","3858","ROAD_SEGMENT","NaN","false","service","9.887788088335663","NaN","1110412982"
,,,,,"3860","3858","ROAD_SEGMENT","NaN","false","service","11.0586955860664","NaN","1110412982"
,,,,,"3861","3863","ROAD_SEGMENT","NaN","false","footway","12.51452987631911","NaN","925927936"
,,,,,"3861","1335","ROAD_SEGMENT","NaN","false","footway","18.825032712719104","NaN","925927936"
,,,,,"3861","3862","ROAD_SEGMENT","NaN","false","footway","8.10941710856929","NaN","1110392831"
,,,,,"3862","3869","ROAD_SEGMENT","NaN","false","footway","2.66433455521202","NaN","1110392831"
,,,,,"3862","3861","ROAD_SEGMENT","NaN","false","footway","8.10941710856929","NaN","1110392831"
,,,,,"3862","3864","ROAD_SEGMENT","NaN","false","footway","1.5590460865704165","NaN","1110392832"
,,,,,"3862","3865","ROAD_SEGMENT","NaN","false","footway","10.942145417349773","NaN","1110392832"
,,,,,"3863","3858","ROAD_SEGMENT","NaN","false","footway","5.835236039904961","NaN","925927936"
,,,,,"3863","3861","ROAD_SEGMENT","NaN","false","footway","12.51452987631911","NaN","925927936"
,,,,,"3863","3870","ROAD_SEGMENT","NaN","false","footway","10.463838284809011","NaN","1110392830"
,,,,,"3863","3864","ROAD_SEGMENT","NaN","false","footway","13.740093212348476","NaN","1110392832"
,,,,,"3864","3863","ROAD_SEGMENT","NaN","false","footway","13.740093212348476","NaN","1110392832"
,,,,,"3864","3862","ROAD_SEGMENT","NaN","false","footway","1.5590460865704165","NaN","1110392832"
,,,,,"3865","3862","ROAD_SEGMENT","NaN","false","footway","10.942145417349773","NaN","1110392832"
,,,,,"3865","3866","ROAD_SEGMENT","NaN","false","footway","2.9245026408692953","NaN","1110392832"
,,,,,"3866","3865","ROAD_SEGMENT","NaN","false","footway","2.9245026408692953","NaN","1110392832"
,,,,,"3866","3867","ROAD_SEGMENT","NaN","false","footway","6.013216580934039","NaN","1110392832"
,,,,,"3867","3879","ROAD_SEGMENT","NaN","false","footway","2.8539928208119436","NaN","351259596"
,,,,,"3867","2979","ROAD_SEGMENT","NaN","false","footway","139.75081191130508","NaN","351259596"
,,,,,"3867","3866","ROAD_SEGMENT","NaN","false","footway","6.013216580934039","NaN","1110392832"
,,,,,"3868","3869","ROAD_SEGMENT","NaN","false","steps","1.7428879234488022","NaN","1110392833"
,,,,,"3869","3862","ROAD_SEGMENT","NaN","false","footway","2.66433455521202","NaN","1110392831"
,,,,,"3869","3868","ROAD_SEGMENT","NaN","false","steps","1.7428879234488022","NaN","1110392833"
,,,,,"3870","3863","ROAD_SEGMENT","NaN","false","footway","10.463838284809011","NaN","1110392830"
,,,,,"3871","2273","ROAD_SEGMENT","NaN","false","footway","17.294942026921206","NaN","421025184"
,,,,,"3871","2288","ROAD_SEGMENT","NaN","false","footway","19.142207605764522","NaN","421025184"
,,,,,"3871","3872","ROAD_SEGMENT","NaN","false","footway","11.120363120153256","NaN","563563511"
,,,,,"3872","2886","ROAD_SEGMENT","NaN","false","footway","6.329702384798197","NaN","563563511"
,,,,,"3872","3871","ROAD_SEGMENT","NaN","false","footway","11.120363120153256","NaN","563563511"
,,,,,"3873","2884","ROAD_SEGMENT","NaN","false","footway","23.482326518805063","NaN","1110399073"
,,,,,"3873","3874","ROAD_SEGMENT","NaN","false","footway","5.222171787418459","NaN","1110399073"
,,,,,"3874","3361","ROAD_SEGMENT","NaN","false","footway","4.6629943095048","NaN","563563511"
,,,,,"3874","3873","ROAD_SEGMENT","NaN","false","footway","5.222171787418459","NaN","1110399073"
,,,,,"3875","2886","ROAD_SEGMENT","NaN","false","service","6.596335647834754","NaN","563563517"
,,,,,"3875","3876","ROAD_SEGMENT","NaN","false","service","5.30791568813597","NaN","563563517"
,,,,,"3876","3875","ROAD_SEGMENT","NaN","false","service","5.30791568813597","NaN","563563517"
,,,,,"3876","3877","ROAD_SEGMENT","NaN","false","service","5.373830418021941","NaN","563563517"
,,,,,"3877","3876","ROAD_SEGMENT","NaN","false","service","5.373830418021941","NaN","563563517"
,,,,,"3877","2885","ROAD_SEGMENT","NaN","false","service","15.024559827559319","NaN","563563517"
,,,,,"3878","2980","ROAD_SEGMENT","NaN","false","footway","9.960239533463856","NaN","421025179"
,,,,,"3878","1409","ROAD_SEGMENT","NaN","false","footway","5.5587162153528125","NaN","421025179"
,,,,,"3879","1335","ROAD_SEGMENT","NaN","false","footway","7.424992328128179","NaN","351259596"
,,,,,"3879","3867","ROAD_SEGMENT","NaN","false","footway","2.8539928208119436","NaN","351259596"
,,,,,"3879","888","ROAD_SEGMENT","NaN","false","footway","8.961913242168718","NaN","376427967"
,,,,,"3880","2979","ROAD_SEGMENT","NaN","false","footway","6.4353157286993845","NaN","351259596"
,,,,,"3880","2978","ROAD_SEGMENT","NaN","false","footway","59.61297172025312","NaN","351259596"
,,,,,"3881","4369","ROAD_SEGMENT","NaN","false","footway","22.65084526285507","NaN","421025179"
,,,,,"3881","3882","ROAD_SEGMENT","NaN","false","footway","30.946773915668512","NaN","421025179"
,,,,,"3882","3881","ROAD_SEGMENT","NaN","false","footway","30.946773915668512","NaN","421025179"
,,,,,"3882","3883","ROAD_SEGMENT","NaN","false","footway","7.863934943580707","NaN","421025179"
,,,,,"3883","3882","ROAD_SEGMENT","NaN","false","footway","7.863934943580707","NaN","421025179"
,,,,,"3883","2306","ROAD_SEGMENT","NaN","false","footway","57.41909478889281","NaN","421025179"
,,,,,"3884","2306","ROAD_SEGMENT","NaN","false","footway","5.990058007492044","NaN","170066423"
,,,,,"3884","137","ROAD_SEGMENT","NaN","false","footway","27.844526823303077","NaN","170066423"
,,,,,"3885","1639","ROAD_SEGMENT","2","false","residential","11.948199117691154","Уфимская улица","27918631"
,,,,,"3885","812","ROAD_SEGMENT","2","false","residential","8.021303687858904","Уфимская улица","27918631"
,,,,,"3886","2901","ROAD_SEGMENT","NaN","false","footway","36.408367300890006","NaN","421025184"
,,,,,"3886","2882","ROAD_SEGMENT","NaN","false","footway","6.814607208599272","NaN","421025184"
,,,,,"3887","2882","ROAD_SEGMENT","NaN","false","footway","5.1172283592718015","NaN","421025184"
,,,,,"3887","2307","ROAD_SEGMENT","NaN","false","footway","29.385248969732405","NaN","421025184"
